Recorder,Box,Tube size,Tube,Week of first fill,Fill type,Notes on any changes in fill,Anomalies - when a change might just be a mistake
Sophia,N2L,lg,2-yel,8/2,DM,,
Sophia,N2L,lg,3-teal,8/2,DM,,
Sophia,N2L,lg,4-red,8/2,DM,,
Sophia,N2L,lg,5-green,7/19,LM,"8/10 LM-lghole, 8/16 DM",
Sophia,N2L,lg,6-red_stripe,7/12,LM,8/10 DM,
Sophia,N2L,lg,7-blue,8/2,DM,,
Sophia,N2L,lg,8-lav,8/10,DM,,
Sophia,N2L,lg,9-blue_stripe,8/10,DM,,
Sophia,N2L,lg,10-red_yell,7/12,LM,"hole at 7/19 and 7/26, DM at 8/2",
Sophia,N2L,sm,1-mag,7/12,LM,"hole at 7/26-8/16, DM at 8/24",
Sophia,N2L,sm,2-yel,7/26,DM,,
Sophia,N2L,sm,3-teal,7/26,DM,,
Sophia,N2L,sm,4-red,7/26,debris,DM developed between 8/2 and 8/16,
Sophia,N2L,sm,5-green,7/12,LM,,
Sophia,N2L,sm,6-red_stripe,8/30,DM,,
Sophia,N2L,sm,7-blue,,E,,
Sophia,N2L,sm,8-lav,6/21,LM,small hole at 7/12 becomes lare hole becomes DM at 8/24,E at 8/10?
Sophia,N2L,sm,9-blue_stripe,7/12,LM,,
Sophia,N2L,sm,10-red_yell,8/2,DM,,
